Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
macaque|SN GATA3-PAX8 GABA,marmoset|SN GATA3-PAX8 GABA,0.98,Above_0.8
human|SN-VTR-HTH GATA3-TCF7L2 GABA,marmoset|ZI-HTH GABA,0.98,Reciprocal_top_hit
macaque|BF SKOR1 Glut,marmoset|BF SKOR1 Glut,0.98,Above_0.8
human|STR SST-ADARB2 GABA,macaque|SN-VTR CALB1 Dopa,0.98,Above_0.8
marmoset|BAM,macaque|Microglia,0.98,Above_0.8
macaque|VTR-HTH Glut,human|SN-VTR GAD2 Dopa,0.98,Above_0.8
human|SN SEMA5A GABA,macaque|SN GATA3-PAX8 GABA,0.98,Above_0.8
human|ZI-HTH GABA,marmoset|ZI-HTH GABA,0.98,Above_0.8
human|SN EBF2 GABA,macaque|SN GATA3-PAX8 GABA,0.98,Above_0.8
human|BF SKOR1 Glut,marmoset|BF SKOR1 Glut,0.98,Reciprocal_top_hit
human|SN EBF2 GABA,marmoset|SN EBF2 GABA,0.98,Reciprocal_top_hit
macaque|BAM,marmoset|BAM,0.98,Above_0.8
human|BAM,marmoset|BAM,0.98,Reciprocal_top_hit
marmoset|SN GATA3-PAX8 GABA,human|SN GATA3-PVALB GABA,0.98,Above_0.8
marmoset|ZI-HTH GABA,macaque|SN GATA3-PAX8 GABA,0.98,Above_0.8
human|VTR-HTH Glut,marmoset|ZI-HTH GABA,0.98,Above_0.8
marmoset|VTR-HTH Glut,human|SN-VTR GAD2 Dopa,0.98,Above_0.8
human|AMY-SLEA-BNST GABA,marmoset|AMY-SLEA-BNST GABA,0.98,Reciprocal_top_hit
human|BAM,macaque|BAM,0.98,Reciprocal_top_hit
macaque|STR SST-ADARB2 GABA,marmoset|STR SST-ADARB2 GABA,0.98,Above_0.8
human|ImAstro,macaque|ImAstro,0.98,Reciprocal_top_hit
human|AMY-SLEA-BNST D1 GABA,macaque|AMY-SLEA-BNST D1 GABA,0.98,Reciprocal_top_hit
